"Andrew Davidson",,,,
"Anne McCloskey","Q76119837","2019 United Kingdom general election","Foyle","Aontú"
"Ben Reel",,,,
"Colm Cavanagh",,,,
"Darren Guy","Q76120042","2019 United Kingdom general election","Foyle","Ulster Unionist Party"
"David Harding",,,,
"David Hawthorne",,,,
"Donn Brennan",,,,
"Earl Storey",,,,
"Elizabeth Zammitt",,,,
"Gearóid Ó Heára",,,,
"Gerard O'Grady",,,,
"Gordon McKenzie",,,,
"Hamish Badenoch",,,,
"Helen-Marie Bell",,,,
"John Burns",,,,
"John Doherty",,,,
"Julia Kee",,,,
"Keith McGrellis",,,,
"Kyle Thompson",,,,
"Lara McIlroy",,,,
"Rachael Ferguson","Q76131102","2019 United Kingdom general election","Foyle","Alliance Party of Northern Ireland"
"Shaun Harkin","Q75996262","2019 United Kingdom general election","Foyle","People Before Profit Alliance"
